"ID","CUSTRECORD_COUPA_ACC_DEPT_INCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","NAME","PARENT","SUBSIDIARY","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_FINANCIAL_STATEMENT_LINE_ITEM","CUSTRECORD_FINANCE_BUSINESS_PARTNER"
"69","T",,"Growth Analytics : GA Analytics : Growth Analytics: Operations - DEPRECATED","T","F","2023-03-30 16:45:51.000 +0000","Growth Analytics: Operations - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"76","T",,"Growth Analytics : GA Analytics : Comm: Growth Strat & GTM - DEPRECATED","T","F","2023-03-30 16:44:57.000 +0000","Comm: Growth Strat & GTM - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"77","T",,"Engineering : Consumer : Eng: Product Eng - DEPRECATED","T","F","2023-03-30 16:41:56.000 +0000","Eng: Product Eng - DEPRECATED","114","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"78","T",,"Engineering : Consumer : Eng: ZeroToSixty - DEPRECATED","T","F","2023-03-30 16:42:19.000 +0000","Eng: ZeroToSixty - DEPRECATED","114","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"79","T",,"Growth Analytics : GA Analytics : Growth Analytics: Core - DEPRECATED","T","F","2023-03-30 16:45:30.000 +0000","Growth Analytics: Core - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"82","T",,"Operations : Merchant Ops : Ops: Merchant Help - DEPRECATED","T","F","2023-03-30 16:48:29.000 +0000","Ops: Merchant Help - DEPRECATED","92","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.218 +0000","39",
"89","T",,"Engineering : Decision Foundations : Eng: Foundations - DEPRECATED","T","F","2023-03-30 16:42:33.000 +0000","Eng: Foundations - DEPRECATED","115","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","42",
"91","T",,"Growth Analytics : GA Analytics : Growth Analytics: Consumer - DEPRECATED","T","F","2023-03-30 16:45:08.000 +0000","Growth Analytics: Consumer - DEPRECATED","90","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39",
"92","T","Merchant_Ops","Operations : Merchant Ops","F","F","2023-03-30 16:48:27.000 +0000","Merchant Ops","1","1, 27, 28, 29, 38",false,,"2023-03-30 20:48:13.218 +0000","39","7556962"
"94","T","Legal_Operations","Legal : Legal Operations","F","F","2023-03-30 16:47:09.000 +0000","Legal Operations","213","1, 5, 27, 28, 29, 54",false,,"2023-03-30 20:48:13.218 +0000","39","7566407"
"95","T","Finance__International_Finance","Finance : International Finance","T","F","2023-03-30 16:44:39.000 +0000","International Finance","212","1, 2, 3, 4, 5, 8, 10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 62, 63, 64, 65, 66, 67, 68",false,,"2023-03-30 20:48:13.217 +0000","39","4112441"
