"ID","CUSTRECORD_COUPA_LOCATIONSINCLUDE","EXTERNALID","FULLNAME","INCLUDECHILDREN","ISINACTIVE","LASTMODIFIEDDATE","LATITUDE","LOCATIONTYPE","LONGITUDE","MAINADDRESS","NAME","PARENT","RETURNADDRESS","SUBSIDIARY","TRANPREFIX","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED"
"432","F","Santa_Cruz","Spain : Santa Cruz","T","F","2023-04-05 19:03:17.000 +0000",,,,"3281410","Santa Cruz","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"433","F","TFR","Spain : Santa Cruz : Remote - ESP, Santa Cruz","T","F","2023-04-05 19:03:17.000 +0000",,,,"3281411","Remote - ESP, Santa Cruz","432",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"434","F","Valencia","Spain : Valencia","T","F","2023-04-05 19:03:18.000 +0000",,,,"3281412","Valencia","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"435","F","VR","Spain : Valencia : Remote - ESP, Valencia","T","F","2023-04-05 19:03:18.000 +0000",,,,"3281413","Remote - ESP, Valencia","434",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"436","F","Barcelona","Spain : Barcelona","T","F","2023-04-05 19:03:19.000 +0000",,,,"3281414","Barcelona","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"437","F","BR","Spain : Barcelona : Remote - ESP, Barcelona","T","F","2023-04-05 19:03:19.000 +0000",,,,"3281415","Remote - ESP, Barcelona","436",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"438","F","Madrid","Spain : Madrid","T","F","2023-04-05 19:03:19.000 +0000",,,,"3281416","Madrid","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"439","T","SPO","Spain : Madrid : Office - Madrid","T","F","2023-04-05 19:03:20.000 +0000",,,,"3281417","Office - Madrid","438",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"440","F","MADR","Spain : Madrid : Remote - ESP, Madrid","T","F","2023-04-05 19:03:20.000 +0000",,,,"3281418","Remote - ESP, Madrid","438",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"441","F","Ciudad_Real","Spain : Ciudad Real","T","F","2023-04-05 19:03:21.000 +0000",,,,"3281419","Ciudad Real","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"442","F","CRR","Spain : Ciudad Real : Remote - ESP, Ciudad Real","T","F","2023-04-05 19:03:21.000 +0000",,,,"3281420","Remote - ESP, Ciudad Real","441",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"443","F","A_Coruna","Spain : A Coruna","T","F","2023-04-05 19:03:21.000 +0000",,,,"3281421","A Coruna","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"444","F","CR","Spain : A Coruna : Remote - ESP, A Coruna","T","F","2023-04-05 19:03:22.000 +0000",,,,"3281422","Remote - ESP, A Coruna","443",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"445","F","Albacete","Spain : Albacete","T","F","2023-04-05 19:03:22.000 +0000",,,,"3281423","Albacete","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"446","F","ABR","Spain : Albacete : Remote - ESP, Albacete","T","F","2023-04-05 19:03:23.000 +0000",,,,"3281424","Remote - ESP, Albacete","445",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"447","F","Asturias","Spain : Asturias","T","F","2023-04-05 19:03:23.000 +0000",,,,"3281425","Asturias","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"448","F","OR","Spain : Asturias : Remote - ESP, Asturias","T","F","2023-04-05 19:03:23.000 +0000",,,,"3281426","Remote - ESP, Asturias","447",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"449","F","Granada","Spain : Granada","T","F","2023-04-05 19:03:24.000 +0000",,,,"3281427","Granada","431",,"46",,false,,"2023-04-06 11:49:38.891 +0000"
"450","F","GRR","Spain : Granada : Remote - ESP, Granada","T","F","2023-04-05 19:03:24.000 +0000",,,,"3281428","Remote - ESP, Granada","449",,"46",,false,,"2023-04-06 11:49:38.892 +0000"
"451","F","Las_Palmas","Spain : Las Palmas","T","F","2023-04-05 19:03:25.000 +0000",,,,"3281429","Las Palmas","431",,"46",,false,,"2023-04-06 11:49:38.892 +0000"
"452","F","GCR","Spain : Las Palmas : Remote - ESP, Las Palmas","T","F","2023-04-05 19:03:25.000 +0000",,,,"3281430","Remote - ESP, Las Palmas","451",,"46",,false,,"2023-04-06 11:49:38.892 +0000"
"453","T","LDNO","United Kingdom : Office - London (Butter)","T","F","2023-04-05 19:03:26.000 +0000",,,,"3281431","Office - London (Butter)","212",,"62, 63, 64, 65, 67",,false,,"2023-04-06 11:49:38.892 +0000"
"454","F","LNDR","United Kingdom : Remote - GBR, London","T","F","2023-04-05 19:03:26.000 +0000",,,,"3281432","Remote - GBR, London","212",,"62, 63, 64, 65, 67",,false,,"2023-04-06 11:49:38.892 +0000"
"455","T","United_States_of_America","United States of America","F","F","2023-04-05 19:14:47.000 +0000",,,,"3281433","United States of America",,,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"456","F","Alabama","United States of America : Alabama","F","F","2023-04-05 19:14:49.000 +0000",,,,"3281434","Alabama","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"457","F","ALR","United States of America : Alabama : Remote - USA, Alabama","F","F","2023-04-05 19:14:49.000 +0000",,,,"3281435","Remote - USA, Alabama","456",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"458","F","Alaska","United States of America : Alaska","F","F","2023-04-05 19:14:50.000 +0000",,,,"3281436","Alaska","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"459","F","AKR","United States of America : Alaska : Remote - USA, Alaska","F","F","2023-04-05 19:14:50.000 +0000",,,,"3281437","Remote - USA, Alaska","458",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"460","F","Arizona","United States of America : Arizona","F","F","2023-04-05 19:14:50.000 +0000",,,,"3281438","Arizona","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"461","F","AZR","United States of America : Arizona : Remote - USA, Arizona","F","F","2023-04-05 19:14:51.000 +0000",,,,"3281439","Remote - USA, Arizona","460",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"462","F","Arkansas","United States of America : Arkansas","F","F","2023-04-05 19:14:51.000 +0000",,,,"3281440","Arkansas","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"463","F","ARR","United States of America : Arkansas : Remote - USA, Arkansas","F","F","2023-04-05 19:14:51.000 +0000",,,,"3281441","Remote - USA, Arkansas","462",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"464","F","California","United States of America : California","F","F","2023-04-05 19:14:52.000 +0000",,,,"3281442","California","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"465","F","CAR","United States of America : California : Remote - USA, California","F","F","2023-04-05 19:14:53.000 +0000",,,,"3281443","Remote - USA, California","464",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"466","F","SFP","United States of America : California : Remote - USA, San Francisco","F","F","2023-04-05 19:14:54.000 +0000",,,,"3281444","Remote - USA, San Francisco","464",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"467","T","SFOO","United States of America : California : Office - San Francisco #3","F","F","2023-04-05 19:14:52.000 +0000",,,,"3281445","Office - San Francisco #3","464",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"468","F","Colorado","United States of America : Colorado","F","F","2023-04-05 19:14:54.000 +0000",,,,"3281446","Colorado","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"469","F","COR","United States of America : Colorado : Remote - USA, Colorado","F","F","2023-04-05 19:14:55.000 +0000",,,,"3281447","Remote - USA, Colorado","468",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"470","F","Connecticut","United States of America : Connecticut","F","F","2023-04-05 19:14:55.000 +0000",,,,"3281448","Connecticut","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"471","F","CTR","United States of America : Connecticut : Remote - USA, Connecticut","F","F","2023-04-05 19:14:55.000 +0000",,,,"3281449","Remote - USA, Connecticut","470",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"472","F","Delaware","United States of America : Delaware","F","F","2023-04-05 19:14:56.000 +0000",,,,"3281450","Delaware","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"473","F","DER","United States of America : Delaware : Remote - USA, Delaware","F","F","2023-04-05 19:14:56.000 +0000",,,,"3281451","Remote - USA, Delaware","472",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"474","F","Florida","United States of America : Florida","F","F","2023-04-05 19:14:57.000 +0000",,,,"3281452","Florida","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"475","F","FLR","United States of America : Florida : Remote - USA, Florida","F","F","2023-04-05 19:14:57.000 +0000",,,,"3281453","Remote - USA, Florida","474",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"476","F","Georgia","United States of America : Georgia","F","F","2023-04-05 19:14:57.000 +0000",,,,"3281454","Georgia","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"477","F","GAR","United States of America : Georgia : Remote - USA, Georgia","F","F","2023-04-05 19:14:58.000 +0000",,,,"3281455","Remote - USA, Georgia","476",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"478","F","Hawaii","United States of America : Hawaii","F","F","2023-04-05 19:14:58.000 +0000",,,,"3281456","Hawaii","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"479","F","HIR","United States of America : Hawaii : Remote - USA, Hawaii","F","F","2023-04-05 19:14:58.000 +0000",,,,"3281457","Remote - USA, Hawaii","478",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"480","F","Idaho","United States of America : Idaho","F","F","2023-04-05 19:14:59.000 +0000",,,,"3281458","Idaho","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"481","F","IDR","United States of America : Idaho : Remote - USA, Idaho","F","F","2023-04-05 19:14:59.000 +0000",,,,"3281459","Remote - USA, Idaho","480",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
"482","F","Illinois","United States of America : Illinois","F","F","2023-04-05 19:14:59.000 +0000",,,,"3281460","Illinois","455",,"1, 2, 28, 29",,false,,"2023-04-06 11:49:38.892 +0000"
